city,temperature_c,humidity,wind_speed,weather,timestamp
Munich,13.34,95,3.16,Clouds,2025-06-07 23:30:03
Berlin,12.72,94,3.09,Clear,2025-06-07 23:30:03
Cairo,25.42,61,3.6,Clear,2025-06-07 23:30:03
Madrid,23.1,36,2.57,Clear,2025-06-07 23:30:03
Amsterdam,13.53,85,4.12,Rain,2025-06-07 23:30:03
Munich,13.14,95,2.43,Clouds,2025-06-08 00:00:03
Berlin,12.43,95,3.6,Clear,2025-06-08 00:00:03
Cairo,24.42,69,3.6,Clear,2025-06-08 00:00:04
Madrid,22.52,37,1.03,Clear,2025-06-08 00:00:04
Amsterdam,13.4,88,6.69,Rain,2025-06-08 00:00:04
Munich,12.85,95,2.43,Clouds,2025-06-08 00:30:02
Berlin,12.75,93,3.6,Clear,2025-06-08 00:30:02
Cairo,24.42,69,2.57,Clear,2025-06-08 00:30:02
Madrid,21.9,40,1.54,Clear,2025-06-08 00:30:02
Amsterdam,13.03,83,5.14,Clouds,2025-06-08 00:30:02
Munich,12.81,95,0.45,Clouds,2025-06-08 01:00:02
Berlin,12.61,94,3.13,Clear,2025-06-08 01:00:02
Cairo,24.42,69,2.06,Clear,2025-06-08 01:00:02
Madrid,21.19,42,2.57,Clear,2025-06-08 01:00:02
Amsterdam,12.59,88,8.23,Clouds,2025-06-08 01:00:02
Munich,12.96,95,1.34,Clouds,2025-06-08 01:30:02
Berlin,12.44,94,2.68,Clear,2025-06-08 01:30:02
Cairo,24.42,69,2.57,Clear,2025-06-08 01:30:02
Madrid,20.76,44,2.06,Clear,2025-06-08 01:30:02
Amsterdam,11.85,83,8.75,Clouds,2025-06-08 01:30:02
Munich,13.0,95,2.33,Rain,2025-06-08 02:00:02
Berlin,12.47,94,4.63,Clear,2025-06-08 02:00:02
Cairo,23.42,73,2.06,Clear,2025-06-08 02:00:02
Madrid,20.48,45,3.09,Clear,2025-06-08 02:00:02
Amsterdam,11.93,86,7.2,Clouds,2025-06-08 02:00:02
Munich,12.98,95,0.45,Clouds,2025-06-08 02:30:02
Berlin,12.49,94,3.6,Clear,2025-06-08 02:30:02
Cairo,23.42,73,2.57,Clear,2025-06-08 02:30:02
Madrid,19.88,46,1.54,Clear,2025-06-08 02:30:02
Amsterdam,11.79,86,8.23,Clouds,2025-06-08 02:30:02
Munich,12.85,95,0.45,Clouds,2025-06-08 03:00:02
Berlin,12.39,94,3.6,Clear,2025-06-08 03:00:02
Cairo,23.42,78,2.06,Clear,2025-06-08 03:00:02
Madrid,19.22,48,0.89,Clear,2025-06-08 03:00:02
Amsterdam,11.74,86,7.2,Rain,2025-06-08 03:00:02
